Day,Start Time,Time Interval,Initial Waiting,Arrivals,Departures,End Waiting,Checkers,Total Customers
Mon,8:00 AM,Morning rush,2,21,22,1,3,23
Mon,8:30 AM,Morning rush,1,25,18,8,3,26
Mon,9:00 AM,Morning,8,27,28,7,3,35
Mon,9:30 AM,Morning,7,21,23,5,3,28
Mon,10:00 AM,Morning,5,20,23,2,5,25
Mon,10:30 AM,Morning,2,36,31,7,5,38
Mon,11:00 AM,Morning,7,30,36,1,5,37
Mon,11:30 AM,Lunch rush,1,34,29,6,5,35
Mon,12:00 PM,Lunch rush,6,56,48,14,7,62
Mon,12:30 PM,Lunch rush,14,58,64,8,7,72
Mon,1:00 PM,Lunch rush,8,53,52,9,7,61
Mon,1:30 PM,Afternoon,9,30,36,3,5,39
Mon,2:00 PM,Afternoon,3,34,31,6,5,37
Mon,2:30 PM,Afternoon,6,36,37,5,5,42
Mon,3:00 PM,Afternoon,5,30,28,7,5,35
Mon,3:30 PM,Afternoon,7,29,34,2,5,36
Mon,4:00 PM,Afternoon,2,35,33,4,5,37
Mon,4:30 PM,Afternoon rush,4,32,25,11,5,36
Mon,5:00 PM,Afternoon rush,11,46,43,14,6,57
Mon,5:30 PM,Afternoon rush,14,39,45,8,6,53
Mon,6:00 PM,Afternoon rush,8,34,39,3,5,42
Mon,6:30 PM,Evening,3,17,17,3,3,20
Mon,7:00 PM,Evening,3,24,25,2,3,27
Mon,7:30 PM,Evening,2,14,15,1,3,16
Mon,8:00 PM,Evening,1,25,14,12,3,26
Mon,8:30 PM,Evening,12,12,19,5,2,24
Mon,9:00 PM,Evening,5,10,14,1,2,15
Mon,9:30 PM,Evening,1,10,9,2,2,11
Mon,10:00 PM,Evening,2,11,12,1,2,13
Mon,10:30 PM,Evening,1,9,9,1,2,10
Mon,11:00 PM,Night,1,7,7,1,2,8
Mon,11:30 PM,Night,1,6,6,1,2,7
Tue,12:00 AM,Night,1,14,12,3,2,15
Tue,12:30 AM,Night,3,3,5,1,1,6
Tue,1:00 AM,Night,1,2,2,1,1,3
Tue,1:30 AM,Night,1,6,7,0,1,7
Tue,2:00 AM,Night,0,3,3,0,1,3
Tue,2:30 AM,Night,0,5,5,0,1,5
Tue,3:00 AM,Night,0,3,1,2,1,3
Tue,3:30 AM,Night,2,4,6,0,1,6
Tue,4:00 AM,Night,0,4,4,0,1,4
Tue,4:30 AM,Night,0,1,1,0,1,1
Tue,5:00 AM,Night,0,6,5,1,1,6
Tue,5:30 AM,Night,1,3,3,1,1,4
Tue,6:00 AM,Morning rush,1,13,14,0,2,14
Tue,6:30 AM,Morning rush,0,7,5,2,2,7
Tue,7:00 AM,Morning rush,2,11,10,3,3,13
Tue,7:30 AM,Morning rush,3,14,14,3,3,17
Tue,8:00 AM,Morning rush,3,19,15,7,3,22
Tue,8:30 AM,Morning rush,7,15,22,0,3,22
Tue,9:00 AM,Morning,0,20,17,3,3,20
Tue,9:30 AM,Morning,3,25,23,5,3,28
Tue,10:00 AM,Morning,5,25,27,3,5,30
Tue,10:30 AM,Morning,3,31,29,5,5,34
Tue,11:00 AM,Morning,5,29,32,2,5,34
Tue,11:30 AM,Lunch rush,2,29,28,3,5,31
Tue,12:00 PM,Lunch rush,3,52,44,11,7,55
Tue,12:30 PM,Lunch rush,11,48,53,6,7,59
Tue,1:00 PM,Lunch rush,6,37,39,4,7,43
Tue,1:30 PM,Afternoon,4,32,30,6,5,36
Tue,2:00 PM,Afternoon,6,27,33,0,5,33
Tue,2:30 PM,Afternoon,0,33,25,8,5,33
Tue,3:00 PM,Afternoon,8,37,33,12,5,45
Tue,3:30 PM,Afternoon,12,32,34,10,5,44
Tue,4:00 PM,Afternoon,10,24,31,3,5,34
Tue,4:30 PM,Afternoon rush,3,33,30,6,5,36
Tue,5:00 PM,Afternoon rush,6,33,32,7,6,39
Tue,5:30 PM,Afternoon rush,7,27,25,9,6,34
Tue,6:00 PM,Afternoon rush,9,28,33,4,5,37
Tue,6:30 PM,Evening,4,22,23,3,3,26
Tue,7:00 PM,Evening,3,24,15,12,3,27
Tue,7:30 PM,Evening,12,16,25,3,3,28
Tue,8:00 PM,Evening,3,22,22,3,3,25
Tue,8:30 PM,Evening,3,10,9,4,2,13
Tue,9:00 PM,Evening,4,12,15,1,2,16
Tue,9:30 PM,Evening,1,11,12,0,2,12
Tue,10:00 PM,Evening,0,9,9,0,2,9
Tue,10:30 PM,Evening,0,16,10,6,2,16
Tue,11:00 PM,Night,6,10,13,3,2,16
Tue,11:30 PM,Night,3,8,10,1,2,11
Wed,12:00 AM,Night,1,14,15,0,2,15
Wed,12:30 AM,Night,0,1,1,0,1,1
Wed,1:00 AM,Night,0,4,3,1,1,4
Wed,1:30 AM,Night,1,7,7,1,1,8
Wed,2:00 AM,Night,1,11,6,6,1,12
Wed,2:30 AM,Night,6,6,11,1,1,12
Wed,3:00 AM,Night,1,5,6,0,1,6
Wed,3:30 AM,Night,0,5,5,0,1,5
Wed,4:00 AM,Night,0,6,2,4,1,6
Wed,4:30 AM,Night,4,2,6,0,1,6
Wed,5:00 AM,Night,0,4,3,1,1,4
Wed,5:30 AM,Night,1,5,6,0,1,6
Wed,6:00 AM,Morning rush,0,7,7,0,2,7
Wed,6:30 AM,Morning rush,0,6,2,4,2,6
Wed,7:00 AM,Morning rush,4,7,10,1,3,11
Wed,7:30 AM,Morning rush,1,15,14,2,3,16
Wed,8:00 AM,Morning rush,2,22,22,2,3,24
Wed,8:30 AM,Morning rush,2,24,23,3,3,26
Wed,9:00 AM,Morning,3,17,15,5,3,20
